Stock,Date,Party,Category,Txntype,Quantity,Value traded,Avgtradeprice
Wipro Ltd,4/26/2017,Sreeprakash Narayanan,Insider - Employee,Buy,1,6.86 L,"686,413.90"
ITC Ltd,5/17/2016,Arun Kumar Srivastava,Insider - Employee,Sell,2,16.50 L,"825,237.50"
MPS Infotecnics Ltd,2/21/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,1,1.35
MPS Infotecnics Ltd,8/23/2021,TOPGAIN FINANCE PRIVATE LIMITED,Bulk,Buy,1,0,0.25
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,1,"2,654","2,654.00"
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,1,"2,655","2,655.00"
Uttam Value Steels Ltd,10/30/2020,TOPGAIN FINANCE PRIVATE LIMITED,Bulk,Sell,2,0,0.25
JSW Steel Ltd,8/1/2022,JSW Steel Employees Welfare Trust 没 ESOP OPJ Samruddhi Plan 2021 A/c,Insider - Other,Sell,1,638,638.00
Reliance Industries Ltd,2/12/2016,Ajit Jayantilal Vyas,Insider - Other,Sell,2,"1,793",896.50
ITC Ltd,3/29/2017,Prabal Kumar Mahapatra,Insider - Employee,Sell,6,17.00 L,"283,300.00"
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,2,"5,310","2,655.00"
Indus Towers Ltd,12/10/2017,Ravinder Hooda,Insider - Employee,Buy,1,376,376.00
Housing Development Finance Corporation Ltd,9/23/2021,SANCHIT GARG,Insider - Designated Person,Sell,1,"2,751","2,751.00"
ITC Ltd,2/2/2016,Malay Kumar Saha,Insider - Employee,Buy,7,9.98 L,"142,542.86"
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,1,"1,969","1,969.00"
Housing Development Finance Corporation Ltd,6/26/2018,NEHA TRIPATHI,Insider - Employee,Sell,1,"1,915","1,915.00"
Housing Development Finance Corporation Ltd,5/9/2018,YASHITA PATIL,Insider - Immediate Relative,Buy,1,"1,890","1,890.00"
Wipro Ltd,8/24/2017,Vikas Srivastava,Insider - Employee,Buy,4,"1,535",383.76
Housing Development Finance Corporation Ltd,12/6/2017,Hari Shankar Prasad,Insider - Employee,Sell,1,"1,649","1,649.00"
Housing Development Finance Corporation Ltd,5/22/2017,Pradeep Kumar S,Insider - Employee,Sell,1,"1,520","1,520.00"
Housing Development Finance Corporation Ltd,5/4/2016,Sony George,Insider - Immediate Relative,Buy,1,"1,162","1,162.00"
JSW Steel Ltd,12/8/2022,JSW Steel Employees Welfare Trust 没 OPJ Samruddhi Plan 2021 A/c PAN: AABTJ3861D Regd. Add.: Dr. G. Deshmukh Marg 5/A Mumbai - 400026 Contact No.: 022-42861001,Insider - Other,Sell,2,"1,490",745.00
JSW Steel Ltd,6/17/2022,JSW Steel Employees Welfare Trust 没 JSWSL OPJ Samruddhi Plan 2021 A/c,Insider - Other,Sell,2,"1,113",556.50
JSW Steel Ltd,6/8/2022,JSW Steel Employees Welfare Trust 没 JSWSL OPJ Samruddhi Plan 2021 A/c,Insider - Other,Sell,2,"1,157",578.50
Larsen & Toubro Ltd,3/17/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,1,"2,195","2,195.00"
Larsen & Toubro Ltd,12/1/2022,SRAVANKUMAR Y V S,Insider - Designated Person,Sell,1,"2,106","2,106.00"
Larsen & Toubro Ltd,8/2/2019,SANTHOSH KP,Insider - Designated Person,Sell,1,"1,370","1,370.00"
Larsen & Toubro Ltd,5/3/2017,Surendra Babu P R,Insider - Employee,Sell,1,"1,711","1,711.00"
Mahindra and Mahindra Ltd,11/18/2022,GIJU KURIAN,Insider - Designated Person,Sell,1,"1,229","1,229.00"
Mahindra and Mahindra Ltd,1/19/2022,Vijay Ramswaroop Nakra,Insider - Designated Person,Sell,1,889,889.00
Godrej Consumer Products Ltd,3/28/2019,NG Children Trust,Insider - Promoter Group,Buy,1,693,693.00
Godrej Consumer Products Ltd,3/29/2019,PG Children Trust,Insider - Promoter Group,Buy,1,685,685.00
Godrej Consumer Products Ltd,3/28/2019,NBG Family Trust,Insider - Promoter Group,Buy,1,693,693.00
Godrej Consumer Products Ltd,3/28/2019,BNG Family Trust,Insider - Promoter Group,Buy,1,693,693.00
Godrej Consumer Products Ltd,3/28/2019,BNG Lineage Trust,Insider - Promoter Group,Buy,1,692,692.00
Godrej Consumer Products Ltd,3/28/2019,SGC Family Trust,Insider - Promoter Group,Buy,1,695,695.00
Godrej Consumer Products Ltd,3/28/2019,ABG Family Trust,Insider - Promoter Group,Buy,1,693,693.00
Godrej Consumer Products Ltd,3/29/2019,RNG Family Trust,Insider - Promoter Group,Buy,1,685,685.00
Godrej Consumer Products Ltd,3/28/2019,NJG Family Trust,Insider - Promoter Group,Buy,1,695,695.00
Godrej Consumer Products Ltd,3/28/2019,NVC Children Trust,Insider - Promoter Group,Buy,1,695,695.00
Godrej Consumer Products Ltd,3/28/2019,RJG Family Trust,Insider - Promoter Group,Buy,1,695,695.00
Godrej Consumer Products Ltd,3/28/2019,SNG Lineage Trust,Insider - Promoter Group,Buy,1,692,692.00
Godrej Consumer Products Ltd,3/28/2019,JNG Family Trust,Insider - Promoter Group,Buy,1,695,695.00
Godrej Consumer Products Ltd,3/28/2019,PG Lineage Trust,Insider - Promoter Group,Buy,1,693,693.00
Godrej Consumer Products Ltd,3/28/2019,PJG Family Trust,Insider - Promoter Group,Buy,1,695,695.00
Godrej Consumer Products Ltd,3/28/2019,Navroze Lineage Trust,Insider - Promoter Group,Buy,1,695,695.00
Godrej Consumer Products Ltd,3/28/2019,Raika Lineage Trust,Insider - Promoter Group,Buy,1,695,695.00
Godrej Consumer Products Ltd,3/28/2019,FVC Children Trust,Insider - Promoter Group,Buy,1,695,695.00
Godrej Consumer Products Ltd,3/28/2019,SNG Family Trust,Insider - Promoter Group,Buy,1,692,692.00
Godrej Consumer Products Ltd,3/28/2019,TAD Children Trust,Insider - Promoter Group,Buy,1,693,693.00
Godrej Consumer Products Ltd,3/28/2019,VMC Family Trust,Insider - Promoter Group,Buy,1,695,695.00
Shalimar Productions Ltd,6/6/2022,SPARK FINANCE,Bulk,Buy,1,0,0.62
Shalimar Productions Ltd,5/27/2022,TOPGAIN FINANCE PRIVATE LIMITED,Bulk,Buy,1,0,0.68
SBI Cards and Payment Services Ltd,8/2/2021,Majid Asadullah,Insider - Designated Person,Sell,1,"1,040","1,040.00"
SBI Cards and Payment Services Ltd,10/26/2020,Amit Kalra,Insider - Designated Person,Sell,1,805,805.00
SBI Cards and Payment Services Ltd,11/4/2020,Gopal Prasad Malakar,Insider - Designated Person,Sell,1,815,815.00
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,4,"10,614","2,653.50"
Tech Mahindra Ltd,8/29/2018,Siddharth Dey,Insider - Employee,Sell,1,738,738.00
Siti Networks Ltd,11/4/2020,VORA PRITESH PRAVINCHANDRA (HUF),Bulk,Sell,1,0,0.55
Siti Networks Ltd,1/6/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,4,4.50
Rasoya Proteins Ltd,5/21/2015,BP FINTRADE PRIVATE LIMITED,Bulk,Sell,2,0,0.20
Housing Development Finance Corporation Ltd,11/29/2018,RANJEET ANNI SHETTY,Insider - Employee,Sell,2,"3,856","1,928.00"
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,2,"3,938","1,969.00"
Housing Development Finance Corporation Ltd,6/26/2018,NEHA TRIPATHI,Insider - Employee,Sell,2,"3,827","1,913.50"
Housing Development Finance Corporation Ltd,12/7/2018,JAISHANKER T A,Insider - Employee,Sell,2,"3,800","1,900.00"
ITC Ltd,11/30/2015,Narottam Thanvi,Insider - Employee,Buy,15,36.42 L,"242,820.00"
Housing Development Finance Corporation Ltd,11/3/2017,Hari Shankar Prasad,Insider - Employee,Sell,2,"3,559","1,779.50"
Housing Development Finance Corporation Ltd,3/12/2018,Mrinal Sharma,Insider - Employee,Sell,2,"3,690","1,845.00"
Housing Development Finance Corporation Ltd,12/13/2017,Anjali Maria Vaz,Insider - Employee,Sell,2,"3,414","1,707.00"
Housing Development Finance Corporation Ltd,3/15/2017,Sudha V,Insider - Employee,Sell,2,"2,847","1,423.50"
Housing Development Finance Corporation Ltd,3/15/2017,Supriya Bhasin,Insider - Employee,Sell,2,"2,841","1,420.50"
Housing Development Finance Corporation Ltd,9/28/2016,Rohit Varma,Insider - Employee,Sell,2,"2,859","1,429.50"
Housing Development Finance Corporation Ltd,2/6/2017,Nehalbhai V Thakker,Insider - Immediate Relative,Sell,2,"2,796","1,398.00"
JSW Steel Ltd,6/11/2019,Beaufield Holdings Limited,Insider - Promoter Group,Sell,4,"1,096",274.00
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,5,"14,041","2,808.20"
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,5,"13,270","2,654.00"
Larsen & Toubro Ltd,3/17/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,2,"4,390","2,195.00"
Larsen & Toubro Ltd,3/17/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,2,"4,391","2,195.50"
Larsen & Toubro Ltd,12/4/2020,RANJAN Y TRIVEDI,Insider - Immediate Relative,Sell,2,"2,309","1,154.50"
Larsen & Toubro Ltd,3/12/2019,A NAVEEN KUMAR,Insider - Designated Person,Sell,2,"2,703","1,351.50"
Larsen & Toubro Ltd,7/26/2016,BHARGAVA MUKESH CMDR,Insider - Employee,Sell,2,"3,162","1,581.00"
Larsen & Toubro Ltd,9/15/2015,Hemant H Jadhav,Insider - Employee,Sell,2,"3,140","1,570.00"
Larsen & Toubro Ltd,9/8/2015,Hemant H Jadhav,Insider - Employee,Sell,2,"3,064","1,532.00"
IIFL Finance Ltd,10/7/2015,Upendra Jaiswal,Insider - Other,Sell,1,189,189.00
Crompton Greaves Consumer Electricals Ltd,11/11/2019,SHAJI ABRAHAM,Insider - Designated Person,Sell,1,262,262.00
Avenue Supermarts Ltd,7/13/2018,Ashwin Patel,Insider - Employee,Sell,1,"1,759","1,759.00"
Avenue Supermarts Ltd,7/16/2018,Ashwin Patel,Insider - Employee,Buy,1,"1,562","1,562.00"
Avenue Supermarts Ltd,7/16/2018,Ashwin Patel,Insider - Employee,Sell,1,"1,568","1,568.00"
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,1,"1,490","1,490.00"
Indusind Bank Ltd,2/12/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,1,"1,498","1,498.00"
Biocon Ltd,12/21/2021,INDRANIL SEN,Insider - Designated Person,Sell,2,711,355.50
Aurobindo Pharma Ltd,10/27/2016,Ravindranadha Reddy Meka,Insider - Employee,Sell,1,21.21 L,"2,120,737.00"
UNO Minda Ltd,8/30/2022,Alok Sharma,Insider - Designated Person,Sell,1,580,580.00
UNO Minda Ltd,11/28/2022,Sanjay Kumar Aggarwal,Insider - Designated Person,Sell,1,555,555.00
NCL Research and Financial Services Ltd,2/4/2022,MANSI SHARE & STOCK ADVISORS PRIVATE LIMITED,Bulk,Sell,1,2,2.25
NCL Research and Financial Services Ltd,12/30/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,1,1,1.61
NCL Research and Financial Services Ltd,2/23/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,1,1.54
HDFC Bank Ltd,3/23/2020,Omkar Gadekar,Insider - Designated Person,Buy,10,"7,710",771.00
HDFC Bank Ltd,1/27/2020,Sunil Maydeo,Insider - Designated Person,Buy,10,"12,349","1,234.90"
MPS Infotecnics Ltd,1/24/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,7,10,1.50
Housing Development Finance Corporation Ltd,3/15/2017,Chatterjee Sourish,Insider - Employee,Sell,3,"4,284","1,428.00"
Housing Development Finance Corporation Ltd,9/6/2016,Aditi Gutgutia,Insider - Employee,Sell,3,"4,356","1,452.00"
Housing Development Finance Corporation Ltd,3/15/2017,Supriya Bhasin,Insider - Employee,Sell,3,"4,268","1,422.67"
Housing Development Finance Corporation Ltd,2/6/2017,Alavani Raghunandan M,Insider - Employee,Sell,3,"4,230","1,410.00"
HDFC Bank Ltd,12/23/2016,Raveesh Kumar Bhatia,Insider - Employee,Buy,10,42.61 L,"426,105.00"
Indian Infotech and Software Ltd,2/23/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,2,8,4.22
Reliance Home Finance Ltd,4/17/2020,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,1,1.00
Brightcom Group Ltd,6/24/2020,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,9,9.95
Indus Towers Ltd,3/18/2016,Prashant Veer Singh,Insider - Employee,Sell,4,19.33 L,"483,368.35"
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,8,"21,232","2,654.00"
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,8,"21,240","2,655.00"
Larsen & Toubro Ltd,3/17/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,3,"6,586","2,195.33"
Larsen & Toubro Ltd,3/17/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,3,"6,585","2,195.00"
Larsen & Toubro Ltd,3/22/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,3,"6,657","2,219.00"
ITC Ltd,8/17/2018,LAKSHMANAN CHITTUR CHANDRASEKHARAN,Insider - Employee,Sell,28,"8,684",310.14
Bharti Airtel Ltd,2/25/2020,Rohit Relan,Insider - Designated Person,Sell,10,"5,333",533.30
ICICI Bank Ltd,11/2/2018,Vikash Sharma,Insider - Employee,Buy,14,32.92 L,"221,342.18"
Virtual Global Education Ltd,1/17/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,3,3.20
HDFC Bank Ltd,9/7/2016,Ram C Sonar,Insider - Employee,Sell,12,"14,700","1,225.00"
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,4,"7,877","1,969.25"
Housing Development Finance Corporation Ltd,11/16/2018,PATHARE VISHAL,Insider - Employee,Sell,4,"7,564","1,891.00"
Housing Development Finance Corporation Ltd,5/26/2017,Shikha Khattar,Insider - Employee,Sell,4,"6,246","1,561.50"
Housing Development Finance Corporation Ltd,9/11/2017,Hemant Shankar Mokashi,Insider - Employee,Sell,4,"7,148","1,787.00"
Housing Development Finance Corporation Ltd,1/12/2017,Patel Darshan,Insider - Employee,Sell,4,"4,971","1,242.75"
Infosys Ltd,3/1/2021,Shaji Mathew,Insider - Designated Person,Buy,11,"22,811","2,073.73"
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,10,"26,725","2,672.50"
ITC Ltd,7/29/2016,Rajiv Bansal,Insider - Employee,Buy,32,35.92 L,"111,384.87"
Greencrest Financial Services Ltd,11/22/2022,VIBRANT SECURITIES PRIVATE LIMITED,Bulk,Sell,1,2,2.82
Greencrest Financial Services Ltd,11/7/2022,MOHD ANEES KHAN,Bulk,Sell,1,2,2.35
MFL India Ltd,8/31/2021,TOPGAIN FINANCE PRIVATE LIMITED,Bulk,Buy,1,0,0.32
Yes Bank Ltd,6/30/2016,Kapil Bali,Insider - Director,Sell,6,"6,300","1,050.00"
Larsen & Toubro Ltd,7/10/2015,BHARGAVA MUKESH CMDR,Insider - Employee,Buy,4,"7,508","1,877.00"
Raj Rayon Industries Ltd,6/16/2020,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,1,0,0.30
HDFC Bank Ltd,5/24/2016,Ramchandra Sonawane,Insider - Designated Person,Sell,15,"16,550","1,103.33"
HDFC Bank Ltd,5/24/2016,Ashok Khanna,Insider - Designated Person,Sell,15,"16,650","1,110.00"
Godrej Industries Ltd,9/30/2019,TANYA DUBASH AND PIROJSHA GODREJTRUSTEES OF TAD CHILDREN TRUST,Insider - Promoter Group,Buy,1,411,411.00
Godrej Industries Ltd,9/30/2019,NADIR GODREJ HORMAZD GODREJ AND BURJIS GODREJ TRUSTEES OF BNG LINEAGE TRUST,Insider - Promoter Group,Buy,1,410,410.00
Godrej Industries Ltd,9/30/2019,PIROJSHA GODREJ AND NISABA GODREJ TRUSTEES OF PG CHILDREN TRUST,Insider - Promoter Group,Buy,1,411,411.00
Godrej Industries Ltd,9/30/2019,JAMSHYD GODREJPHEROZA GODREJ AND NAVROZE GODREJ TRUSTEES OF PJG FAMILY TRUST,Insider - Promoter Group,Buy,1,414,414.00
Godrej Industries Ltd,9/30/2019,NISABA GODREJ AND PIROJSHA GODREJ TRUSTEES OF NG CHILDREN TRUST,Insider - Promoter Group,Buy,1,411,411.00
Godrej Industries Ltd,9/30/2019,NADIR GODREJHORMAZD GODREJ AND RATI GODREJTRUSTEES OF RNG FAMILY TRUST,Insider - Promoter Group,Buy,1,410,410.00
Godrej Industries Ltd,9/30/2019,JAMSHYD GODREJ PHEROZA GODREJ AND NAVROZE GODREJ TRUSTEES OF NJG FAMILY TRUST,Insider - Promoter Group,Buy,1,414,414.00
Godrej Industries Ltd,9/30/2019,SMITA GODREJ CRISHNA FREYAN CRISHNA BIERI AND NYRIKA HOLKAR TRUSTEES OF FVC CHILDREN TRUST,Insider - Promoter Group,Buy,1,414,414.00
Godrej Industries Ltd,9/30/2019,PIROJSHA GODREJ AND NISABA GODREJTRUSTEES OF PG LINEAGE TRUST,Insider - Promoter Group,Buy,1,411,411.00
Godrej Industries Ltd,9/30/2019,NADIR GODREJ HORMAZD GODREJ AND RATI GODREJ TRUSTEES OF BNG SUCCESSOR TRUST,Insider - Promoter Group,Buy,1,410,410.00
Godrej Industries Ltd,9/30/2019,NADIR GODREJ HORMAZD GODREJ AND RATI GODREJ TRUSTEES OF SNG SUCCESSOR TRUST,Insider - Promoter Group,Buy,1,410,410.00
Godrej Industries Ltd,9/30/2019,SMITA GODREJ CRISHNA VIJAY MOHAN CRISHNA FREYAN CRISHNA BIERI AND NYRIKA HOLKAR TRUSTEES OF VMC FAMILY TRUST,Insider - Promoter Group,Buy,1,414,414.00
Godrej Industries Ltd,9/30/2019,NADIR GODREJ HORMAZD GODREJ AND SOHRAB GODREJ TRUSTEES OF SNG LINEAGE TRUST,Insider - Promoter Group,Buy,1,410,410.00
Godrej Industries Ltd,9/30/2019,JAMSHYD GODREJ PHEROZA GODREJ AND NAVROZE GODREJ TRUSTEES OF RJG FAMILY TRUST,Insider - Promoter Group,Buy,1,414,414.00
Godrej Industries Ltd,9/30/2019,SMITA GODREJ CRISHNA FREYAN CRISHNA BIERI AND NYRIKA HOLKAR TRUSTEES OF NVC CHILDREN TRUST,Insider - Promoter Group,Buy,1,414,414.00
Tata Consultancy Services Ltd,8/5/2021,Suresh Gopinathan Menon,Insider - Designated Person,Sell,11,"36,357","3,305.18"
Punj Lloyd Ltd,2/20/2019,J M GLOBAL EQUITIES PRIVATE LIMITED,Bulk,Buy,1,1,1.80
Housing Development Finance Corporation Ltd,8/10/2018,POOJA HEMANT SHAH,Insider - Employee,Sell,5,"9,900","1,980.00"
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,5,"9,845","1,969.00"
Housing Development Finance Corporation Ltd,11/14/2018,SOMA SUNDAR B T,Insider - Employee,Sell,5,"9,175","1,835.00"
Housing Development Finance Corporation Ltd,8/10/2018,POOJA HEMANT SHAH,Insider - Employee,Sell,5,"9,880","1,976.00"
Sel Manufacturing Company Ltd,8/11/2015,RKR INVESTMENTS SERVICES,Bulk,Buy,1,4,4.23
Biogen Pharmachem Industries Ltd,7/8/2021,PARESH DHIRAJLAL SHAH,Bulk,Buy,2,1,0.58
Zee Learn Ltd,1/7/2022,MANSI SHARES & STOCK ADVISORS PVT LTD,Bulk,Buy,1,18,18.50
Housing Development Finance Corporation Ltd,7/31/2017,Shashank Khare,Insider - Employee,Sell,5,"8,910","1,782.00"
Housing Development Finance Corporation Ltd,7/20/2017,KRISHNARAO RAMCHANDRA YADAV,Insider - Immediate Relative,Sell,5,"8,240","1,648.00"
Housing Development Finance Corporation Ltd,2/2/2018,Nilesh Janardan Mange,Insider - Employee,Buy,5,"9,544","1,908.80"
Housing Development Finance Corporation Ltd,5/30/2017,Deepika Gupta,Insider - Employee,Sell,5,"7,978","1,595.60"
Housing Development Finance Corporation Ltd,3/13/2018,JITENDRA SAI KOMMINENI,Insider - Employee,Sell,5,"9,350","1,870.00"
Crompton Greaves Consumer Electricals Ltd,11/11/2019,SHAJI ABRAHAM,Insider - Designated Person,Sell,2,518,259.00
Hindustan Unilever Ltd,3/30/2021,Chandrasekaran Singaravelu,Insider - Employee,Sell,7,"16,654","2,379.14"
GV Films Ltd,1/10/2022,MANSI SHARE & STOCK ADVISORS PRIVATE LIMITED,Bulk,Buy,3,3,1.26
AU Small Finance Bank Ltd,5/15/2020,Ravleen Kaur saluja,Insider - Immediate Relative,Sell,1,436,436.00
AU Small Finance Bank Ltd,8/25/2020,Pankaj Sharma,Insider - Designated Person,Sell,1,738,738.00
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,2,"2,980","1,490.00"
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,2,"2,979","1,489.50"
AU Small Finance Bank Ltd,3/18/2020,Pankaj Sharma,Insider - Designated Person,Sell,1,806,806.00
